ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References
452,5,9,theyaʼ,遠,614;779,
453,5,9,stongan,跳遠,614;615,
454,5,9,pusan,二十,615,
455,5,9,rmuruw,推出,574;616;794,
456,5,9,boru hiluy,鉛球,616,
457,5,9,hnyasun,超越,618,
458,5,9,slpyung,交朋友,620,
459,5,10,klkah,踢,624;625;626;632;634;638;796,
460,5,10,kilgal,過程,451;626,
461,5,10,lhngat,輕快,627,
462,5,10,stating,撞擊,628,
463,5,10,sʼyayan,閃過,,
464,5,10,cabu,網,630;635,
465,5,10,ngatan,攔截,631,
466,5,10,klkahan,力量,632,
467,5,10,llow,右翼,632,
468,5,10,shtuy,擋住,633,
469,5,10,miyup,進入,811,
470,5,10,msgaliʼ,破裂,635,
471,5,10,lmaʼux,贏,457;638,
472,5,11,pilow,前天,641,
473,5,11,piying,能力,640;657;658;770;847,
474,5,11,cbwan,射,643;759,
475,5,11,slaʼiy,箭,647;665,
476,5,11,mbheyow,追,643;648,
477,5,11,rmhyen,鋸,649,
478,5,11,cmxu,搗,644;650;810,
479,5,11,rhkey,糯米糕,644;649,
480,5,11,inbuyan,延續,646;728,
481,5,11,pnangan,背負,646,
482,5,11,mecyuh,準度,647,
483,5,11,knyusuw,重量,648,
484,5,11,knapah,黏度,650,
485,5,11,tnrhow,牢靠,654;695;738,
486,5,11,shiyu,整齊,654;695;738,
487,5,11,sngusan,內涵,450;654;666,
488,5,11,knmyasa,美,659,
489,5,12,rnuruw,已推展,494;617;663;720,
490,5,12,tpikit,柔道,664,
491,5,12,klayan khoniʼ,木雕,664,
492,5,12,syan olu,串珠,495;665;492;495;665,
493,5,12,mʼulu,豐富,483;673,
494,5,12,knbaʼan,藝能,484;486;674;705;790;797;829,
495,6,1,knaki,曾住過,678,
496,6,1,pʼumah,耕種,679;706;719;743;751,
497,6,1,huluy,拉,700,
498,6,1,knhangan,統治,680,
499,6,1,Sehu,政府,685,
500,6,1,bnkisan,祖先,517;678;695;696;700;701,
501,6,1,sʼyanux,生活,679;717;719,
502,6,1,msʼasuw,分享,,
503,6,1,Nipun,日本,680,
504,6,1,Kokominto,國民黨,685,
505,6,2,snhyan,信仰,758;762;769;771,
506,6,2,Lutux Tayal,泰雅祖靈,691,
507,6,2,snrhuw,訓示,696,
508,6,2,showey,感恩,,
509,6,2,smʼutux,相信,692;767,
510,6,2,mshiyu,正直,695,
511,6,2,hwayun,祝謝,,
512,6,2,suruw,之後,564;602;609;634;684;685;702;780,
513,6,3,knbaʼan,習得,484;674;705;790;797;829,
514,6,3,mʼcyoli,成年人,486;707;801,
515,6,3,smiyey,提親,710;714;778;779,
516,6,3,smwal,同意,711;516;711,
517,6,3,sʼunun,一起,712,
518,6,3,tbcyam,分給,,
519,6,3,killgan,過程,,
520,6,3,plwanan,請出,437;710,
521,6,3,ngan,等到,683;684;697;700;711,
522,6,3,sapat,豬宴,711;713,
523,6,3,thapuy,烹煮,712,
524,6,4,sʼyanux,生活,679;717;719,
525,6,4,kiyap,抓,719,
526,6,4,cinbwanan,世界,693;720,
527,6,4,pslungan,模樣,726,
528,6,4,scayux,羞愧,729,
529,6,4,spiyang,重要,389;718;775,
530,6,4,pʼyuwan,轉變,720,
531,6,4,inkyasan,形象,,
532,6,4,hngawan,休閒,726,
533,6,5,hntagn,出生,,
534,6,5,laʼiy bku,小嬰孩,733;735,
535,6,5,cnʼunan,織成,739,
536,6,5,pnkita,呈現,745,
537,6,5,knbleʼan,美滿,419;659;674;746;787,
538,6,5,sʼasan,歡喜,733,
539,6,5,mrimuy,美麗地,739,
